CMDLINE C:\Users\15360\anaconda3\envs\nanoGPT\python.exe Code_Analysis/gpt2sample.py
MEM 1.839844 1745134518.4882
MEM 17.339844 1745134518.5904
MEM 25.988281 1745134518.7005
MEM 32.773438 1745134518.8098
MEM 36.910156 1745134518.9170
MEM 41.929688 1745134519.0249
MEM 47.648438 1745134519.1349
MEM 135.773438 1745134519.2442
MEM 158.945312 1745134519.3510
MEM 182.175781 1745134519.4594
MEM 187.652344 1745134519.5671
MEM 198.796875 1745134519.6744
MEM 214.687500 1745134519.7814
MEM 230.031250 1745134519.8910
MEM 242.812500 1745134519.9989
MEM 258.890625 1745134520.1081
MEM 272.453125 1745134520.2165
MEM 277.519531 1745134520.3262
MEM 281.707031 1745134520.4343
MEM 293.199219 1745134520.5437
MEM 296.531250 1745134520.6526
MEM 301.242188 1745134520.7629
MEM 305.859375 1745134520.8718
MEM 307.996094 1745134520.9812
MEM 311.132812 1745134521.0913
MEM 312.812500 1745134521.2023
MEM 316.863281 1745134521.3119
MEM 320.070312 1745134521.4204
MEM 323.203125 1745134521.5296
MEM 323.597656 1745134521.6361
MEM 323.843750 1745134521.7423
MEM 327.023438 1745134521.8520
MEM 332.332031 1745134521.9609
MEM 338.769531 1745134522.0696
MEM 384.078125 1745134522.1776
MEM 448.468750 1745134522.2838
MEM 453.539062 1745134522.3921
MEM 453.585938 1745134522.5033
MEM 453.796875 1745134522.6141
MEM 454.425781 1745134522.7237
MEM 455.011719 1745134522.8335
MEM 456.507812 1745134522.9410
MEM 456.933594 1745134523.0516
MEM 457.281250 1745134523.1600
MEM 458.308594 1745134523.2665
MEM 458.917969 1745134523.3744
MEM 458.917969 1745134523.4853
MEM 458.921875 1745134523.5947
MEM 459.125000 1745134523.7024
MEM 459.699219 1745134523.8099
MEM 460.265625 1745134523.9171
MEM 461.125000 1745134524.0546
MEM 462.023438 1745134524.1650
MEM 462.417969 1745134524.2752
MEM 463.042969 1745134524.3862
MEM 463.074219 1745134524.4964
MEM 463.890625 1745134524.6045
MEM 464.398438 1745134524.7138
MEM 464.839844 1745134524.8233
MEM 465.585938 1745134524.9317
MEM 466.832031 1745134525.0408
MEM 468.355469 1745134525.1514
